,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%)
2013-06,0.0,-9.96,0.0,379.0,285.0,-3612.0,0.0,1.0,-3611.0,-2933.0,-2934.0,-245.0,-1.0,16496.0,13758.0,348656.0,348656.0,-332160.0,0.0
2013-12,-0.04,-9.86,-0.01,840.0,492.0,-1273.0,0.0,1.0,-1272.0,-1272.0,-1273.0,-418.0,-419.0,87.0,80.0,328778.0,259232.0,-328691.0,0.0
2014-06,-0.02,-9.89,0.0,444.0,185.0,-768.0,0.0,6.0,-762.0,-762.0,-768.0,18.0,17.0,157.0,151.0,329604.0,260057.0,-329447.0,0.0
2014-12,-0.04,-9.9,0.0,938.0,425.0,-1302.0,0.0,6.0,-1296.0,-1296.0,-1302.0,102.0,101.0,189.0,181.0,330175.0,260629.0,-329987.0,0.0
2015-06,-0.02,-9.91,0.0,472.0,195.0,-1012.0,0.0,520.0,-492.0,-492.0,-1012.0,-36.0,-36.0,633.0,626.0,331112.0,261566.0,-330479.0,0.0
2015-12,2.45,-5.35,0.01,1121.0,586.0,-1236.0,0.0,82848.0,81613.0,81613.0,45.0,224.0,219.0,793.0,424.0,179111.0,179111.0,-178220.0,0.0
2016-06,4.85,0.48,0.0,587.0,245.0,-724.0,0.0,162565.0,161841.0,161708.0,44.0,-168.0,15834.0,16598.0,16240.0,592.0,592.0,15971.0,1012.32
2016-12,4.85,0.22,-0.12,2509.0,1087.0,-864.0,0.0,162605.0,161741.0,161702.0,450.0,-3849.0,5035.0,9994.0,9619.0,2623.0,2623.0,7372.0,-193.34
2017-06,0.0,0.22,0.0,3832.0,1205.0,29.0,4.0,3.0,32.0,32.0,122.0,-415.0,-2118.0,8613.0,8153.0,1239.0,1239.0,7374.0,0.43
2017-12,0.01,0.23,-0.07,7901.0,2596.0,250.0,61.0,3.0,253.0,243.0,178.0,-2215.0,-3350.0,8835.0,8005.0,1263.0,1263.0,7572.0,3.24
2018-03,-0.01,0.21,-0.02,860.0,120.0,-458.0,9.0,2.0,-456.0,-456.0,-467.0,-611.0,383.0,8478.0,7472.0,1364.0,1364.0,7114.0,-6.0
2018-06,0.01,0.24,-0.06,1958.0,744.0,264.0,652.0,17.0,281.0,286.0,-380.0,-1925.0,-546.0,8453.0,8044.0,560.0,560.0,7893.0,3.63
